Intensity Minutes Weekly Total
,Actual,Value
2024-09-30,0,150
2024-10-07,0,150
2024-10-14,0,150
2024-10-21,0,150
2024-10-28,0,150
2024-11-04,24,150
2024-11-11,98,150
2024-11-18,72,150
2024-11-25,100,150
2024-12-02,125,150
2024-12-09,116,150
2024-12-16,65,150
2024-12-23,46,150
2024-12-30,85,150
2025-01-06,68,150
2025-01-13,3,150
2025-01-20,70,150
2025-01-27,30,150
2025-02-03,76,150
2025-02-10,62,150
2025-02-17,56,150
2025-02-24,12,150
2025-03-03,57,150
2025-03-10,43,150
2025-03-17,82,150
2025-03-24,60,150
2025-03-31,66,150
2025-04-07,99,150
2025-04-14,133,150
2025-04-21,110,150
2025-04-28,75,150
2025-05-05,17,150
2025-05-12,8,150
2025-05-19,34,150
2025-05-26,102,150
2025-06-02,91,150
2025-06-09,150,150
2025-06-16,56,150
2025-06-23,21,150
2025-06-30,75,150
2025-07-07,25,150
2025-07-14,38,150
2025-07-21,111,150
2025-07-28,78,150
2025-08-04,57,150
2025-08-11,117,150
2025-08-18,172,150
2025-08-25,54,150
2025-09-01,69,150
2025-09-08,93,150
2025-09-15,131,150
2025-09-22,0,150
