Date,Avg Score,Avg Quality,Avg Duration,Avg Bedtime,Avg Wake Time
Sep 16-22,74,Fair,7h 0min,10:57 PM,6:32 AM
Sep 9-15,83,Good,8h 9min,10:18 PM,6:45 AM
Sep 2-8,82,Good,8h 18min,10:57 PM,7:50 AM
Aug 26 - Sep 1,81,Good,8h 37min,11:07 PM,8:23 AM
Aug 19-25,79,Fair,7h 40min,10:43 PM,7:05 AM
Aug 12-18,78,Fair,8h 6min,9:51 PM,6:11 AM
Aug 5-11,83,Good,8h 11min,10:07 PM,6:29 AM
Jul 29 - Aug 4,66,Fair,6h 47min,10:49 PM,5:52 AM
Jul 22-28,84,Good,8h 12min,10:14 PM,6:41 AM
Jul 15-21,84,Good,8h 2min,10:43 PM,6:58 AM
Jul 8-14,78,Fair,7h 30min,10:32 PM,6:23 AM
Jul 1-7,63,Fair,6h 19min,11:00 PM,6:06 AM
Jun 24-30,86,Good,7h 44min,10:24 PM,6:14 AM
Jun 17-23,68,Fair,6h 20min,10:56 PM,5:45 AM
Jun 10-16,71,Fair,7h 23min,10:50 PM,6:54 AM
Jun 3-9,80,Good,7h 32min,11:01 PM,6:45 AM
May 27 - Jun 2,74,Fair,7h 2min,10:45 PM,6:14 AM
May 20-26,77,Fair,7h 18min,10:12 PM,6:07 AM
May 13-19,78,Fair,6h 55min,10:38 PM,5:48 AM
May 6-12,76,Fair,7h 21min,9:38 PM,5:24 AM
Apr 29 - May 5,75,Fair,7h 24min,9:47 PM,6:06 AM
Apr 22-28,77,Fair,7h 31min,9:48 PM,6:01 AM
Apr 15-21,73,Fair,7h 0min,10:10 PM,5:37 AM
Apr 8-14,81,Good,7h 45min,10:16 PM,6:13 AM
Apr 1-7,80,Good,7h 46min,10:14 PM,6:11 AM
Mar 25-31,70,Fair,8h 3min,9:58 PM,6:33 AM
Mar 18-24,74,Fair,7h 53min,9:11 PM,5:34 AM
Mar 11-17,82,Good,7h 6min,10:19 PM,5:42 AM
Mar 4-10,85,Good,8h 23min,8:50 PM,5:24 AM
Feb 25 - Mar 3,81,Good,8h 0min,9:30 PM,5:39 AM
Feb 18-24,84,Good,7h 59min,9:18 PM,5:39 AM
Feb 11-17,85,Good,8h 0min,9:20 PM,5:34 AM
Feb 4-10,81,Good,7h 47min,9:43 PM,5:48 AM
Jan 28 - Feb 3,79,Fair,8h 10min,9:12 PM,6:07 AM
Jan 21-27,83,Good,7h 47min,9:40 PM,5:49 AM
Jan 14-20,80,Good,8h 29min,9:40 PM,7:05 AM
Jan 7-13,78,Fair,8h 11min,9:47 PM,6:37 AM
Dec 31, 2024 - Jan 6, 2025,73,Fair,7h 31min,9:53 PM,5:48 AM
Dec 24-30, 2024,70,Fair,7h 3min,10:01 PM,5:40 AM
Dec 17-23, 2024,73,Fair,7h 42min,9:37 PM,6:09 AM
Dec 10-16, 2024,55,Poor,7h 1min,9:39 PM,6:06 AM
Dec 3-9, 2024,82,Good,7h 59min,9:11 PM,5:34 AM
Nov 26 - Dec 2, 2024,82,Good,8h 24min,8:41 PM,5:47 AM
Nov 19-25, 2024,79,Fair,6h 59min,10:13 PM,5:38 AM
Nov 12-18, 2024,74,Fair,6h 44min,9:58 PM,5:20 AM
Nov 5-11, 2024,60,Fair,6h 37min,11:03 PM,6:54 AM
Oct 29 - Nov 4, 2024,--,--,--,--,--
Oct 22-28, 2024,--,--,--,--,--
Oct 15-21, 2024,--,--,--,--,--
Oct 8-14, 2024,--,--,--,--,--
Oct 1-7, 2024,--,--,--,--,--
Sep 24-30, 2024,--,--,--,--,--
